species,genus,subfamily,family,order,class_taxon,super_class,ocean,basin,food_i,food_mode,temp_preferred,temp_range,climate,fecundity_mean,body_shape_i,longevity_wild,oxygen_cons,temp_cons,dev_place,sp_richness,comments,circadian,observed_homerange,n_ind,geog_range,movement_keyword,demers_pelag,length,common_name,kfin,r_fin,diet_troph3,iucn_category,predicted_homerange,predicted_pld,observed_pld,home_range,pld,magnitude_homerange,month_pld,class,class2,class3
Conger orbignianus,Conger,Congrinae,Congridae,Anguilliformes,Actinopteri,Osteichthyes,Atlantic,Both,"nekton, zoobenthos, zooplankton",generalist,22,NA,subtropical,NA,eel-like,NA,NA,NA,NA,197,NA,NA,NA,NA,515000,habitat_benthic,demersal,112,NA,3468.19438,0.269522379,3.753420389,LC,0.065791727,52.69232653,NA,0.065791727,52.69232653,-2,2,1,8,mid-low/mid
Conodon nobilis,Conodon,Haemulinae,Haemulidae,Eupercaria/misc,Actinopteri,Osteichthyes,Atlantic,West,"nekton, plants, zoobenthos",generalist,26,NA,subtropical,NA,fusiform / normal,NA,NA,NA,NA,133,Found along sandy shores and over shallow muddy bottoms (Ref. 3798).  Adults feed at night on crustaceans and small fishes (Ref. 3798).  Marketed fresh (Ref. 3798).,nocturnal,NA,NA,2602500,habitat_benthic,demersal,33.59999847,NA,8375.276066,0.654886592,3.61,LC,0.001376413,43.36681866,NA,0.001376413,43.36681866,-3,2,1,8,mid-low/mid
Coregonus albula,Coregonus,Coregoninae,Salmonidae,Salmoniformes,Actinopteri,Osteichthyes,"Atlantic, Mediterranean and Black Sea",East,"others, zoobenthos, zooplankton",generalist,9,NA,subtropical,5768,fusiform / normal,10,NA,NA,planktonic,226,NA,NA,NA,NA,32500,migratory,benthopelagic,48,NA,20850.23819,0.420787903,3.13691919,LC,0.024637034,32.42940829,28,0.024637034,28,-2,1,4,4,mid/low
Coregonus lavaretus,Coregonus,Coregoninae,Salmonidae,Salmoniformes,Actinopteri,Osteichthyes,"Arctic Ocean, Atlantic, Mediterranean and Black Sea, Pacific",Both,"detritus, others, zoobenthos, zooplankton",generalist,10,12,subtropical,32149.625,fusiform / normal,NA,NA,NA,planktonic,226,NA,NA,NA,NA,1395000,habitat_coastal,demersal,73,NA,18551.55656,0.390523349,3.13,VU,0.202659846,35.11379855,19,0.202659846,19,-1,1,4,4,mid/low
Coryphaena hippurus,Coryphaena,NA,Coryphaenidae,Carangiformes,Actinopteri,Osteichthyes,"Atlantic, Indian Ocean, Mediterranean and Black Sea, Pacific",Both,"nekton, others, plants, zoobenthos, zooplankton",generalist,28,9,tropical,388631.1666666667,elongated,4,450,13.5,planktonic,2,NA,NA,NA,NA,197602500,hms,pelagic neritic,210,NA,293986.8201,0.795560345,4.37,LC,8702.014652,35.59758648,NA,8702.014652,35.59758648,3,2,6,2,high/mid
Coryphaenoides rupestris,Coryphaenoides,NA,Macrouridae,Gadiformes,Actinopteri,Osteichthyes,Atlantic,Both,"nekton, zoobenthos, zooplankton",generalist,8,NA,subtropical,21498.214285714286,elongated,54,NA,NA,NA,378,NA,NA,NA,NA,2527500,habitat_deep,bathypelagic,110,NA,511478.7341,0.071986899,3.69737483,CR,0.126818925,60.92466675,NA,0.126818925,60.92466675,-1,3,3,3,mid/mid-high
Cottoperca gobio,Cottoperca,NA,Bovichtidae,Perciformes/Notothenioidei,Actinopteri,Osteichthyes,"Atlantic, Pacific",Both,"nekton, zoobenthos, zooplankton",generalist,NA,NA,subtropical,NA,fusiform / normal,NA,NA,NA,NA,11,NA,NA,NA,NA,665000,territorial,demersal,80,NA,35.33597676,0.630179269,4.257830417,NA,0.01724786,23.51767136,NA,0.01724786,23.51767136,-2,1,4,4,mid/low
Crenidens crenidens,Crenidens,NA,Sparidae,Eupercaria/misc,Actinopteri,Osteichthyes,"Atlantic, Indian Ocean, Mediterranean and Black Sea",Both,"plants, zoobenthos",generalist,25,NA,tropical,NA,short and / or deep,NA,NA,NA,NA,162,NA,NA,NA,NA,1897500,habitat_coastal,demersal,30,NA,22.55929735,0.518987796,2.894055156,LC,9.5e-4,31.78400825,NA,9.5e-4,31.78400825,-4,2,7,7,low/mid
Cromileptes altivelis,Cromileptes,Epinephelinae,Serranidae,Perciformes/Serranoidei,Actinopteri,Osteichthyes,"Indian Ocean, Pacific",Both,nekton,specialist,NA,NA,tropical,NA,short and / or deep,NA,NA,NA,planktonic,577,NA,NA,NA,NA,7332500,habitat_reef,reef-associated,70,NA,191382.417,0.151702421,4.482012652,DD,0.057130228,31.91522788,24,0.057130228,24,-2,1,4,4,mid/low
Ctenolabrus rupestris,Ctenolabrus,NA,Labridae,Eupercaria/misc,Actinopteri,Osteichthyes,"Atlantic, Mediterranean and Black Sea",East,"nekton, zoobenthos, zooplankton",generalist,12,NA,subtropical,NA,fusiform / normal,8,NA,NA,planktonic,559,NA,NA,NA,NA,1272500,habitat_reef,reef-associated,18,NA,2070.185701,0.491971324,3.58,LC,0.001042471,26.5035929,20.9,0.001042471,20.9,-3,1,4,4,mid/low
Cyclopterus lumpus,Cyclopterus,Cyclopterinae,Cyclopteridae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Arctic Ocean, Atlantic, Mediterranean and Black Sea",Both,"nekton, plants, zoobenthos, zooplankton",generalist,6,NA,subtropical,97827,short and / or deep,13,NA,NA,planktonic,28,NA,NA,NA,NA,4235000,migratory,benthopelagic,61,NA,195061.7514,0.14428799,3.89,NA,0.109753013,48.06082106,NA,0.109753013,48.06082106,-1,2,1,1,mid-high/mid
Cymatoceps nasutus,Cymatoceps,NA,Sparidae,Eupercaria/misc,Actinopteri,Osteichthyes,"Atlantic, Indian Ocean",Both,zoobenthos,specialist,NA,NA,tropical,NA,fusiform / normal,NA,NA,NA,NA,162,NA,NA,NA,NA,135000,habitat_coastal,demersal,150,NA,107.9575144,0.189296689,3.603965566,VU,0.025958895,37.92367488,NA,0.025958895,37.92367488,-2,2,1,8,mid-low/mid
Cynoponticus coniceps,Cynoponticus,NA,Muraenesocidae,Anguilliformes,Actinopteri,Osteichthyes,Pacific,East,"nekton, zoobenthos",generalist,NA,NA,subtropical,NA,eel-like,NA,NA,NA,NA,15,NA,NA,NA,NA,565000,sedentary,demersal,202,NA,41.31668095,0.409229387,4.042989109,DD,0.071526548,46.82208228,NA,0.071526548,46.82208228,-2,2,1,8,mid-low/mid
Cynoscion acoupa,Cynoscion,NA,Sciaenidae,Eupercaria/misc,Actinopteri,Osteichthyes,Atlantic,West,"nekton, zoobenthos",generalist,NA,NA,subtropical,NA,fusiform / normal,NA,NA,NA,NA,293,NA,NA,NA,NA,1062500,habitat_coastal,demersal,110,NA,78789.14733,0.392131823,4.061670962,LC,0.172468492,39.25505889,NA,0.172468492,39.25505889,-1,2,1,1,mid-high/mid
Cynoscion analis,Cynoscion,NA,Sciaenidae,Eupercaria/misc,Actinopteri,Osteichthyes,Pacific,East,"nekton, zoobenthos, zooplankton",generalist,26,NA,subtropical,NA,fusiform / normal,NA,NA,NA,NA,293,NA,NA,NA,NA,12500,habitat_coastal,demersal,47,NA,24108.18213,0.551630808,4.06,LC,0.015624901,28.53682016,NA,0.015624901,28.53682016,-2,1,4,4,mid/low
Cynoscion arenarius,Cynoscion,NA,Sciaenidae,Eupercaria/misc,Actinopteri,Osteichthyes,Atlantic,West,NA,NA,NA,NA,subtropical,NA,fusiform / normal,5,NA,NA,NA,293,NA,NA,NA,NA,737500,habitat_coastal,demersal,63.5,NA,1093.045778,0.789800407,4.17,LC,0.046417554,32.64518757,NA,0.046417554,32.64518757,-2,2,1,8,mid-low/mid
Cynoscion guatucupa,Cynoscion,NA,Sciaenidae,Eupercaria/misc,Actinopteri,Osteichthyes,Atlantic,West,"nekton, zoobenthos, zooplankton",generalist,NA,NA,subtropical,NA,fusiform / normal,NA,NA,NA,NA,293,NA,NA,NA,NA,497500,habitat_coastal,benthopelagic,50,NA,12600.54722,0.546839108,3.753420389,NA,0.052651213,30.35473389,NA,0.052651213,30.35473389,-2,2,1,8,mid-low/mid
Cynoscion jamaicensis,Cynoscion,NA,Sciaenidae,Eupercaria/misc,Actinopteri,Osteichthyes,Atlantic,West,"nekton, zoobenthos",generalist,NA,NA,subtropical,254023,fusiform / normal,NA,NA,NA,NA,293,NA,NA,NA,NA,1850000,habitat_coastal,demersal,50,NA,16743.59145,0.661378058,3.865511506,LC,0.119455734,30.44268028,NA,0.119455734,30.44268028,-1,2,1,1,mid-high/mid
Cynoscion leiarchus,Cynoscion,NA,Sciaenidae,Eupercaria/misc,Actinopteri,Osteichthyes,Atlantic,West,"nekton, others, plants, zoobenthos, zooplankton",generalist,NA,NA,subtropical,NA,fusiform / normal,NA,NA,NA,NA,293,NA,NA,NA,NA,1052500,habitat_coastal,demersal,90.80000305,NA,3205.040971,0.646582686,3.136919244,LC,0.14660248,33.51338781,NA,0.14660248,33.51338781,-1,2,1,1,mid-high/mid
Cynoscion nebulosus,Cynoscion,NA,Sciaenidae,Eupercaria/misc,Actinopteri,Osteichthyes,Atlantic,Both,"nekton, zoobenthos",generalist,23,NA,subtropical,204745,fusiform / normal,18,NA,NA,NA,293,NA,NA,NA,NA,557500,habitat_coastal,demersal,100,NA,23214.89583,0.436633792,3.996284477,LC,0.1474311,27.46066944,19.5,0.1474311,19.5,-1,1,4,4,mid/low
Cynoscion regalis,Cynoscion,NA,Sciaenidae,Eupercaria/misc,Actinopteri,Osteichthyes,Atlantic,Both,"nekton, zoobenthos, zooplankton",generalist,13,9.5,subtropical,840520,fusiform / normal,NA,NA,NA,in close association with substrate,293,NA,NA,NA,NA,320000,habitat_coastal,demersal,98,NA,39327.35894,0.331251585,3.77,NA,0.040609059,42.76776977,NA,0.040609059,42.76776977,-2,2,1,8,mid-low/mid
Cynoscion striatus,Cynoscion,NA,Sciaenidae,Eupercaria/misc,Actinopteri,Osteichthyes,Atlantic,West,NA,NA,17,NA,subtropical,180500,fusiform / normal,NA,NA,NA,NA,293,NA,NA,NA,NA,580000,habitat_reef,demersal,60,NA,93747.47506,0.561883634,3.9,NA,0.077897049,31.02239478,NA,0.077897049,31.02239478,-2,2,1,8,mid-low/mid
Cynoscion virescens,Cynoscion,NA,Sciaenidae,Eupercaria/misc,Actinopteri,Osteichthyes,Atlantic,West,"nekton, zoobenthos",generalist,NA,NA,subtropical,NA,fusiform / normal,NA,NA,NA,NA,293,NA,NA,NA,NA,722500,habitat_coastal,demersal,115,NA,1443.494614,0.561883634,4.042989109,LC,0.084426331,32.10552193,NA,0.084426331,32.10552193,-2,2,1,8,mid-low/mid
Cyttus traversi,Cyttus,NA,Cyttidae,Zeiformes,Actinopteri,Osteichthyes,"Atlantic, Indian Ocean, Pacific",Both,"nekton, zoobenthos, zooplankton",generalist,17,NA,tropical,NA,short and / or deep,NA,NA,NA,NA,3,NA,NA,NA,NA,1740000,habitat_deep,bathydemersal,54,NA,2574.854885,0.43137965,3.949579844,NA,0.07086186,26.75713384,NA,0.07086186,26.75713384,-2,1,4,4,mid/low
Dactylopterus volitans,Dactylopterus,NA,Dactylopteridae,Dactylopteriformes,Actinopteri,Osteichthyes,"Atlantic, Mediterranean and Black Sea",Both,"nekton, zoobenthos",generalist,NA,NA,subtropical,NA,fusiform / normal,NA,6366.214285714285,23,planktonic,7,NA,NA,NA,NA,5692500,habitat_coastal,reef-associated,50,NA,6.205821294,0.6387551,3.65,LC,0.050323348,27.95528417,24,0.050323348,24,-2,1,4,4,mid/low
Decapterus macrosoma,Decapterus,Caranginae,Carangidae,Carangiformes,Actinopteri,Osteichthyes,"Atlantic, Indian Ocean, Pacific",Both,zooplankton,specialist,NA,NA,tropical,18825,fusiform / normal,NA,NA,NA,planktonic,148,NA,NA,NA,NA,14297500,pelagic oceanic,reef-associated,35,NA,3202.233997,1.339773422,3.454510743,LC,0.022405888,40.87498319,NA,0.022405888,40.87498319,-2,2,1,8,mid-low/mid
Decapterus maruadsi,Decapterus,Caranginae,Carangidae,Carangiformes,Actinopteri,Osteichthyes,"Indian Ocean, Pacific",Both,zooplankton,specialist,28,NA,tropical,NA,fusiform / normal,NA,NA,NA,planktonic,148,NA,NA,NA,NA,9375000,pelagic oceanic,reef-associated,30,NA,146120.1126,1.47971252,3.454510743,LC,0.001937703,36.31229102,NA,0.001937703,36.31229102,-3,2,1,8,mid-low/mid
Decapterus russelli,Decapterus,Caranginae,Carangidae,Carangiformes,Actinopteri,Osteichthyes,"Indian Ocean, Mediterranean and Black Sea, Pacific",Both,"nekton, plants, zoobenthos, zooplankton",generalist,28,NA,tropical,26761.75,fusiform / normal,12,NA,NA,planktonic,148,NA,NA,NA,NA,11902500,pelagic oceanic,benthopelagic,45,NA,363773.9984,1.232939226,3.68,LC,0.949353667,43.66195445,NA,0.949353667,43.66195445,-1,2,1,1,mid-high/mid
Dentex angolensis,Dentex,NA,Sparidae,Eupercaria/misc,Actinopteri,Osteichthyes,"Atlantic, Indian Ocean, Pacific",Both,"nekton, zoobenthos, zooplankton",generalist,27,NA,subtropical,NA,fusiform / normal,NA,NA,NA,NA,162,NA,NA,NA,NA,622500,habitat_coastal,demersal,37,NA,6022.049797,0.458551505,3.56660186,NT,0.013737423,25.02172051,NA,0.013737423,25.02172051,-2,1,4,4,mid/low
Dentex congoensis,Dentex,NA,Sparidae,Eupercaria/misc,Actinopteri,Osteichthyes,Atlantic,East,"nekton, zoobenthos",generalist,27,NA,subtropical,NA,fusiform / normal,NA,NA,NA,NA,162,NA,NA,NA,NA,485000,habitat_coastal,demersal,50,NA,910.517836,0.553307118,3.744079463,LC,0.038596121,27.97260903,NA,0.038596121,27.97260903,-2,1,4,4,mid/low
Dentex dentex,Dentex,NA,Sparidae,Eupercaria/misc,Actinopteri,Osteichthyes,"Atlantic, Mediterranean and Black Sea",East,"nekton, zoobenthos",generalist,19,NA,subtropical,NA,fusiform / normal,NA,NA,NA,NA,162,NA,NA,NA,NA,1307500,habitat_reef,benthopelagic,100,NA,13138.0328,0.29493487,4.53,VU,0.063610958,39.27309615,NA,0.063610958,39.27309615,-2,2,1,8,mid-low/mid
Dentex macrophthalmus,Dentex,NA,Sparidae,Eupercaria/misc,Actinopteri,Osteichthyes,"Atlantic, Mediterranean and Black Sea",East,"nekton, zoobenthos, zooplankton",generalist,22,NA,subtropical,NA,fusiform / normal,NA,NA,NA,NA,162,NA,NA,NA,NA,2190000,habitat_coastal,benthopelagic,65,NA,4134.759615,0.459706531,3.501215375,LC,0.144694047,28.14887897,NA,0.144694047,28.14887897,-1,1,4,4,mid/low
Diagramma pictum,Diagramma,Plectorhinchinae,Haemulidae,Eupercaria/misc,Actinopteri,Osteichthyes,"Indian Ocean, Pacific",Both,"nekton, zoobenthos",generalist,28,NA,tropical,NA,fusiform / normal,NA,NA,NA,NA,133,NA,NA,NA,NA,11305000,habitat_reef,reef-associated,100,NA,13.09966939,0.515127504,3.7,NA,0.812382928,30.56637522,NA,0.812382928,30.56637522,-1,2,1,1,mid-high/mid
Diapterus auratus,Diapterus,NA,Gerreidae,Eupercaria/misc,Actinopteri,Osteichthyes,Atlantic,West,"detritus, plants, zoobenthos, zooplankton",generalist,NA,NA,subtropical,NA,fusiform / normal,NA,NA,NA,NA,53,NA,NA,NA,NA,2477500,habitat_coastal,demersal,42.79999924,NA,1378.245233,1.366610205,2.44,LC,0.075544822,46.75275281,NA,0.075544822,46.75275281,-2,2,1,8,mid-low/mid
Diastobranchus capensis,Diastobranchus,Synaphobranchinae,Synaphobranchidae,Anguilliformes,Actinopteri,Osteichthyes,"Atlantic, Indian Ocean, Pacific",Both,"detritus, nekton",generalist,17,1,tropical,NA,eel-like,NA,NA,NA,NA,41,NA,NA,NA,NA,3097500,habitat_deep,bathydemersal,180,NA,2.752697054,0.367639439,4.482012652,NA,0.113908135,34.13703664,NA,0.113908135,34.13703664,-1,2,1,1,mid-high/mid
Dicentrarchus labrax,Dicentrarchus,NA,Moronidae,Eupercaria/misc,Actinopteri,Osteichthyes,"Atlantic, Mediterranean and Black Sea",East,"detritus, nekton, zoobenthos, zooplankton",generalist,11,16,subtropical,288353,fusiform / normal,30,369.74999625,17.75,planktonic,6,NA,NA,0.0177,2,1665000,habitat_coastal,demersal,103,european seabass,51902.73934,0.531450639,3.519897228,LC,0.265532079,42.01468486,49.17666667,0.0177,49.17666667,-2,2,1,8,mid-low/mid
Dicentrarchus punctatus,Dicentrarchus,NA,Moronidae,Eupercaria/misc,Actinopteri,Osteichthyes,"Atlantic, Mediterranean and Black Sea",East,"nekton, zoobenthos",generalist,19,NA,subtropical,NA,fusiform / normal,NA,NA,NA,NA,6,NA,NA,NA,NA,1585000,habitat_coastal,pelagic neritic,70,NA,1535.080603,0.492643838,3.958920771,LC,0.103101076,26.6434582,NA,0.103101076,26.6434582,-1,1,4,4,mid/low
Drepane africana,Drepane,NA,Drepaneidae,Acanthuriformes,Actinopteri,Osteichthyes,Atlantic,East,"detritus, plants, zoobenthos, zooplankton",generalist,27,NA,subtropical,NA,short and / or deep,NA,NA,NA,NA,3,NA,NA,NA,NA,545000,habitat_coastal,benthopelagic,45,NA,20718.22779,0.477805346,3.174282949,LC,0.07327785,30.33113058,NA,0.07327785,30.33113058,-2,2,1,8,mid-low/mid
Drepane punctata,Drepane,NA,Drepaneidae,Acanthuriformes,Actinopteri,Osteichthyes,"Indian Ocean, Pacific",Both,"detritus, nekton, zoobenthos",generalist,28,NA,tropical,NA,short and / or deep,NA,NA,NA,NA,3,NA,NA,NA,NA,9855000,habitat_coastal,reef-associated,50,NA,12343.76467,0.537312901,3.379783331,NA,0.100734508,29.92457393,NA,0.100734508,29.92457393,-1,1,4,4,mid/low
Dicologlossa cuneata,Dicologlossa,NA,Soleidae,Pleuronectiformes,Actinopteri,Osteichthyes,"Atlantic, Mediterranean and Black Sea",East,zoobenthos,specialist,27,NA,subtropical,NA,short and / or deep,NA,NA,NA,NA,185,NA,NA,NA,NA,1607500,habitat_benthic,demersal,30,NA,33465.21927,0.218533515,3.379783331,LC,0.001427241,56.34244405,NA,0.001427241,56.34244405,-3,2,1,8,mid-low/mid
Diplodus annularis,Diplodus,NA,Sparidae,Eupercaria/misc,Actinopteri,Osteichthyes,"Atlantic, Mediterranean and Black Sea",East,"nekton, plants, zoobenthos, zooplankton",generalist,11,NA,subtropical,97000,fusiform / normal,17,NA,NA,planktonic,162,NA,NA,NA,NA,1425000,habitat_coastal,benthopelagic,27.5,NA,3757.532876,0.781098688,3.64,LC,0.001227445,35.82613324,NA,0.001227445,35.82613324,-3,2,1,8,mid-low/mid
Diplodus sargus,Diplodus,NA,Sparidae,Eupercaria/misc,Actinopteri,Osteichthyes,"Atlantic, Indian Ocean, Mediterranean and Black Sea",Both,"detritus, nekton, plants, zoobenthos, zooplankton",generalist,23,NA,tropical,151637.5,fusiform / normal,10,227.5,14,planktonic,162,NA,NA,0.253218308,2,2037500,habitat_reef,demersal,45,white seabream,9479,0.54,3.38,LC,0.063723942,30.31937879,NA,0.253218308,30.31937879,-1,2,1,1,mid-high/mid
Diplodus vulgaris,Diplodus,NA,Sparidae,Eupercaria/misc,Actinopteri,Osteichthyes,"Atlantic, Mediterranean and Black Sea",East,"nekton, plants, zoobenthos, zooplankton",generalist,18,NA,subtropical,73154,fusiform / normal,NA,NA,NA,planktonic,162,NA,NA,0.284249658,3,1907500,habitat_reef,benthopelagic,45,two-banded seabream,1123.212743,0.582831707,3.52,LC,0.060874062,28.18450401,NA,0.284249658,28.18450401,-1,1,4,4,mid/low
Dissostichus eleginoides,Dissostichus,Pleuragrammatinae,Nototheniidae,Perciformes/Notothenioidei,Actinopteri,Osteichthyes,"Atlantic, Indian Ocean, Pacific",Both,"nekton, zoobenthos, zooplankton",generalist,7,NA,tropical,153675.5,fusiform / normal,31,NA,NA,planktonic,56,NA,NA,NA,NA,6025000,deep,pelagic oceanic,215,NA,111783.5265,0.107371089,4.49,NA,0.109583843,56.50242511,NA,0.109583843,56.50242511,-1,2,1,1,mid-high/mid
Dussumieria acuta,Dussumieria,NA,Dussumieriidae,Clupeiformes,Actinopteri,Osteichthyes,"Indian Ocean, Mediterranean and Black Sea, Pacific",Both,zooplankton,specialist,28,NA,tropical,NA,fusiform / normal,NA,NA,NA,NA,9,NA,NA,NA,NA,3960000,habitat_coastal,pelagic neritic,20,NA,166890.2184,0.8976476,3.454510743,LC,0.002191427,36.95358062,NA,0.002191427,36.95358062,-3,2,1,8,mid-low/mid
Dussumieria elopsoides,Dussumieria,NA,Dussumieriidae,Clupeiformes,Actinopteri,Osteichthyes,"Indian Ocean, Mediterranean and Black Sea, Pacific",Both,zooplankton,specialist,28,NA,tropical,NA,fusiform / normal,NA,NA,NA,NA,9,NA,NA,NA,NA,9642500,habitat_coastal,pelagic neritic,20,NA,749.7783262,0.787176662,3.454510743,LC,0.001235692,36.30987032,NA,0.001235692,36.30987032,-3,2,1,8,mid-low/mid
Elagatis bipinnulata,Elagatis,Naucratinae,Carangidae,Carangiformes,Actinopteri,Osteichthyes,"Atlantic, Indian Ocean, Mediterranean and Black Sea, Pacific",Both,"nekton, zoobenthos, zooplankton",generalist,28,NA,tropical,NA,fusiform / normal,6,NA,NA,planktonic,148,NA,NA,NA,NA,15267500,pelagic oceanic,reef-associated,180,NA,55659.46335,0.893428233,4.27,LC,3.224414639,37.63538674,NA,3.224414639,37.63538674,0,2,1,1,mid-high/mid
Eleginus gracilis,Eleginus,NA,Gadidae,Gadiformes,Actinopteri,Osteichthyes,"Arctic Ocean, Pacific",Both,"nekton, zoobenthos, zooplankton",generalist,5,NA,subtropical,70000,fusiform / normal,15,102.99666333333333,7.166666666666667,planktonic,22,NA,NA,NA,NA,3077500,habitat_coastal,demersal,55,NA,285654.0008,0.307311992,4.1,NA,0.083778582,42.74830866,NA,0.083778582,42.74830866,-2,2,1,8,mid-low/mid
Eleginus nawaga,Eleginus,NA,Gadidae,Gadiformes,Actinopteri,Osteichthyes,"Arctic Ocean, Atlantic",East,"nekton, zoobenthos",generalist,-1,NA,subtropical,21000,fusiform / normal,12,NA,NA,NA,22,NA,NA,NA,NA,195000,habitat_coastal,demersal,42,NA,17168.72556,0.37986791600000003,4.239148564,NA,0.013979176,32.41993121,NA,0.013979176,32.41993121,-2,2,1,8,mid-low/mid
Eleutheronema tetradactylum,Eleutheronema,NA,Polynemidae,Carangaria/misc,Actinopteri,Osteichthyes,"Indian Ocean, Pacific",Both,"nekton, zoobenthos, zooplankton",generalist,28,NA,tropical,386699.5,elongated,NA,NA,NA,planktonic,42,NA,NA,NA,NA,8010000,habitat_coastal,pelagic neritic,200,NA,41062.71573,0.643974845,4.06,NA,0.404722202,42.370226,NA,0.404722202,42.370226,-1,2,1,1,mid-high/mid
Elops lacerta,Elops,NA,Elopidae,Elopiformes,Actinopteri,Osteichthyes,Atlantic,East,"nekton, zoobenthos",generalist,24,NA,tropical,NA,elongated,NA,NA,NA,NA,7,NA,NA,NA,NA,542500,habitat_coastal,pelagic neritic,100,NA,10312.44854,0.593623907,4.239148564,LC,0.067539434,28.98779649,NA,0.067539434,28.98779649,-2,1,4,4,mid/low
Elops saurus,Elops,NA,Elopidae,Elopiformes,Actinopteri,Osteichthyes,"Atlantic, Indian Ocean, Pacific",West,"nekton, zoobenthos",generalist,27,NA,subtropical,NA,elongated,NA,NA,NA,planktonic,7,NA,NA,NA,NA,7810000,habitat_coastal,reef-associated,100,NA,2233.495287,0.57364079,3.49,LC,0.131332763,32.02430763,NA,0.131332763,32.02430763,-1,2,1,1,mid-high/mid
Encrasicholina punctifer,Encrasicholina,Engraulinae,Engraulidae,Clupeiformes,Actinopteri,Osteichthyes,"Indian Ocean, Pacific",Both,NA,NA,NA,NA,tropical,1892,fusiform / normal,NA,NA,NA,planktonic,155,NA,NA,NA,NA,8592500,pelagic oceanic,reef-associated,13,NA,1435.9987,1.630046044,3.29,LC,0.001318448,38.82104396,NA,0.001318448,38.82104396,-3,2,1,8,mid-low/mid
Engraulis anchoita,Engraulis,Engraulinae,Engraulidae,Clupeiformes,Actinopteri,Osteichthyes,Atlantic,West,"plants, zooplankton",generalist,13,NA,subtropical,NA,elongated,NA,NA,NA,NA,155,NA,NA,NA,NA,967500,migratory,pelagic neritic,17,NA,1175644.452,0.639382033,2.623168289,NT,0.001464965,48.42733423,NA,0.001464965,48.42733423,-3,2,1,8,mid-low/mid
Engraulis encrasicolus,Engraulis,Engraulinae,Engraulidae,Clupeiformes,Actinopteri,Osteichthyes,"Atlantic, Indian Ocean, Mediterranean and Black Sea",Both,"plants, zoobenthos, zooplankton",generalist,21,NA,tropical,15203,elongated,5,NA,NA,planktonic,155,NA,NA,NA,NA,3817500,migratory,pelagic neritic,20,NA,222703.8889,0.556514588,3.192964802,LC,0.002162221,39.352493,37,0.002162221,37,-3,2,1,8,mid-low/mid
Engraulis japonicus,Engraulis,Engraulinae,Engraulidae,Clupeiformes,Actinopteri,Osteichthyes,"Atlantic, Indian Ocean, Pacific",Both,"others, plants, zoobenthos, zooplankton",generalist,25,22,tropical,NA,elongated,4,2018.7926653333334,16.2,planktonic,155,NA,NA,NA,NA,760000,pelagic oceanic,pelagic neritic,18,NA,1215063.273,0.795607578,3.14,LC,0.001331584,47.47253833,47,0.001331584,47,-3,2,1,8,mid-low/mid
Engraulis mordax,Engraulis,Engraulinae,Engraulidae,Clupeiformes,Actinopteri,Osteichthyes,Pacific,East,"detritus, plants, zoobenthos, zooplankton",generalist,13,NA,subtropical,8993.75,elongated,7,NA,NA,planktonic,155,NA,NA,NA,NA,360000,pelagic oceanic,pelagic neritic,24.799999239999998,NA,424727.4555,0.452423043,3.174282949,LC,0.001074256,35.53136196,32.5,0.001074256,32.5,-3,2,1,8,mid-low/mid
Engraulis ringens,Engraulis,Engraulinae,Engraulidae,Clupeiformes,Actinopteri,Osteichthyes,Pacific,East,"plants, zoobenthos, zooplankton",generalist,16,10,subtropical,NA,elongated,3,84,0,NA,155,NA,NA,NA,NA,470000,pelagic oceanic,pelagic neritic,20,NA,6557901.089,0.648902669,2.950100617,LC,0.001343759,61.71822154,74,0.001343759,74,-3,3,3,3,mid/mid-high
Eopsetta jordani,Eopsetta,Hippoglossinae,Pleuronectidae,Pleuronectiformes,Actinopteri,Osteichthyes,Pacific,Both,"nekton, zoobenthos, zooplankton",generalist,9,NA,subtropical,400000,short and / or deep,35,NA,NA,planktonic,66,NA,NA,NA,NA,1140000,habitat_benthic,demersal,53,NA,46749.37249,0.112547735,4.108375594,LC,0.046592669,64.39376202,NA,0.046592669,64.39376202,-2,3,3,3,mid/mid-high
Epigonus telescopus,Epigonus,NA,Epigonidae,Acropomatiformes,Actinopteri,Osteichthyes,"Atlantic, Indian Ocean, Mediterranean and Black Sea, Pacific",Both,"nekton, zoobenthos, zooplankton",generalist,19,NA,tropical,NA,fusiform / normal,104,NA,NA,NA,46,NA,NA,NA,NA,8827500,habitat_deep,bathydemersal,75,NA,13691.58919,0.097286004,3.59,LC,0.102312725,50.41641654,NA,0.102312725,50.41641654,-1,2,1,1,mid-high/mid
Epinephelus aeneus,Epinephelus,Epinephelinae,Serranidae,Perciformes/Serranoidei,Actinopteri,Osteichthyes,"Atlantic, Mediterranean and Black Sea",East,"nekton, zoobenthos",generalist,27,NA,subtropical,NA,fusiform / normal,NA,NA,NA,NA,577,NA,NA,NA,NA,1792500,migratory,demersal,120,NA,5733.711363,0.173225323,4.033648182,NT,0.076846126,50.45733321,NA,0.076846126,50.45733321,-2,2,1,8,mid-low/mid
